countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Brazil,Porto Alegre,prta.bra9711,fixed,0.02,0.02,0.04,0.01,0.02,-0.01,0.04,-0.04,0.07
United States,portland (ME),prtl.usa7306,fixed,0.09,0.09,0.03,0.08,0.09,0.07,0.1,0.04,0.13
United States,Providence,prvd.usa7306,fixed,0.12,0.12,0.06,0.1,0.13,0.08,0.15,0.03,0.21
United Kingdom,Peterborough,ptrb.uk9016,fixed,0.09,0.09,0.04,0.08,0.09,0.07,0.12,0.03,0.15
United States,pittsburgh,ptts.usa7306,fixed,0.12,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.15
Philippines,Quezon City,quzn.phi0610,fixed,0.12,0.12,0.04,0.11,0.13,0.1,0.15,0.06,0.19
United States,Richmond,rchm.usa7306,fixed,0.19,0.19,0.02,0.18,0.19,0.17,0.2,0.15,0.23
United States,rochester,rchs.usa7306,fixed,0.12,0.12,0.02,0.11,0.12,0.1,0.13,0.09,0.15
United States,Rockville,rckv.usa7306,fixed,0.13,0.13,0.02,0.12,0.13,0.11,0.14,0.1,0.16
United Kingdom,Reading,rdng.uk9016,fixed,0.11,0.11,0.03,0.1,0.11,0.09,0.12,0.07,0.15
United States,reading,rdng.usa7306,fixed,0.13,0.13,0.05,0.12,0.14,0.1,0.16,0.06,0.2
Brazil,Recife,recf.bra9711,fixed,0.11,0.11,0.02,0.1,0.11,0.1,0.13,0.08,0.14
Canada,Regina Qu'Appelle Regional Health Authority,regn.can8615,fixed,0.05,0.05,0.13,0.03,0.09,-0.03,0.13,-0.16,0.26
United States,Reno,reno.usa7306,fixed,0.13,0.13,0.03,0.12,0.13,0.11,0.14,0.08,0.17
United States,raleigh,rlgh.usa7306,fixed,0.13,0.13,0.03,0.12,0.13,0.11,0.14,0.08,0.18
France,ille et vilaine,rnns.fra0014,fixed,0.12,0.12,0.03,0.11,0.13,0.1,0.14,0.07,0.18
Italy,Roma,rome.ita0110,fixed,0.13,0.13,0.02,0.13,0.14,0.11,0.14,0.1,0.17
United States,Riverside,rvrs.usa7306,fixed,0.2,0.2,0.03,0.19,0.2,0.17,0.21,0.15,0.24
Japan,Saitama,satm.jap1115,fixed,0.08,0.08,0.03,0.07,0.08,0.06,0.1,0.04,0.12
United States,Sacramento,scrm.usa7306,fixed,0.14,0.14,0.07,0.12,0.15,0.09,0.16,0.04,0.25
United States,Scranton,scrn.usa7306,fixed,0.16,0.17,0.03,0.15,0.17,0.14,0.18,0.12,0.22
United States,san diego,sdig.usa7306,fixed,0.13,0.13,0.03,0.11,0.13,0.11,0.15,0.09,0.18
Spain,Segovia,segv.spa9014,fixed,0.16,0.16,0.02,0.15,0.16,0.15,0.17,0.12,0.19
South Korea,seoul,seol.kor9718,fixed,0.08,0.08,0.02,0.08,0.09,0.06,0.09,0.04,0.12
United States,san francisco,sfrn.usa7306,fixed,0.13,0.13,0.02,0.12,0.14,0.11,0.14,0.09,0.17
United Kingdom,Sheffield,shff.uk9016,fixed,0.16,0.16,0.02,0.15,0.16,0.15,0.18,0.13,0.2
China,Shanghai,shng.chi9615,fixed,0.02,0.02,0.02,0.02,0.03,0.01,0.04,-0.01,0.06
United Kingdom,Slough,slgh.uk9016,fixed,0.09,0.09,0.02,0.08,0.09,0.08,0.1,0.06,0.12
Spain,Salamanca,slmn.spa9014,fixed,0.16,0.16,0.02,0.15,0.16,0.14,0.17,0.12,0.19
United States,Salt Lake City,sltl.usa7306,fixed,0.11,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.16
Brazil,São Luís,slus.bra9711,fixed,0.14,0.14,0.02,0.12,0.13,0.12,0.15,0.1,0.17
Brazil,Salvador,slvd.bra9711,fixed,0.09,0.1,0.02,0.09,0.1,0.08,0.11,0.06,0.13
United Kingdom,Sunderland,sndr.uk9016,fixed,0.15,0.15,0.03,0.14,0.16,0.13,0.17,0.11,0.2
United States,San Jose,snjs.usa7306,fixed,0.11,0.11,0.03,0.11,0.12,0.09,0.13,0.06,0.16
Mexico,SAN LUIS POTOSÍ,snlp.mex9814,fixed,0.01,0.01,0.06,0,0.03,-0.03,0.04,-0.08,0.09
Spain,Gipuzkoa,snsb.spa9014,fixed,0.12,0.12,0.02,0.11,0.12,0.11,0.13,0.09,0.16
United States,Santa Barbara,sntb.usa7306,fixed,0.1,0.11,0.04,0.09,0.11,0.08,0.13,0.05,0.17
Chile,Región Metropolitana,sntg.chl0414,fixed,0.12,0.12,0.02,0.12,0.13,0.11,0.14,0.09,0.16
Spain,Cantabria,sntn.spa9014,fixed,0.19,0.2,0.03,0.18,0.2,0.17,0.21,0.15,0.24
United States,san antonio,sntn.usa7306,fixed,0.13,0.13,0.03,0.12,0.14,0.11,0.14,0.09,0.17
Spain,Soria,sori.spa9014,fixed,0.12,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.15
Brazil,São Paulo,spal.bra9711,fixed,0.06,0.06,0.03,0.05,0.06,0.04,0.07,0.01,0.1
United States,Spokane,spkn.usa7306,fixed,0.06,0.06,0.05,0.04,0.07,0.02,0.09,-0.02,0.15
United States,springfield (MA),spma.usa7306,fixed,0.1,0.1,0.04,0.09,0.11,0.06,0.12,0.03,0.17
United States,Springfield,spmo.usa7306,fixed,0.04,0.04,0.07,0.01,0.05,-0.02,0.07,-0.08,0.15
Japan,Hokkaido,sppr.jap1115,fixed,0.03,0.03,0.03,0.02,0.04,0.01,0.05,-0.01,0.08
United States,Spartanburg,sprt.usa7306,fixed,0.07,0.07,0.08,0.06,0.1,0.01,0.11,-0.06,0.22
United States,sarasota,srst.usa7306,fixed,0.15,0.15,0.02,0.14,0.15,0.13,0.16,0.11,0.19
United States,St. Charles,stch.usa7306,fixed,0.09,0.1,0.09,0.06,0.1,0.04,0.15,-0.04,0.23
United States,stockton,stck.usa7306,fixed,0.07,0.07,0.03,0.06,0.07,0.05,0.08,0.03,0.11
United States,East St. Louis,stcl.usa7306,fixed,0.1,0.1,0.09,0.07,0.11,0.04,0.15,-0.07,0.24
