countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Brazil,Brasília,brsl.bra9711,fixed,0.05,0.05,0.02,0.04,0.05,0.04,0.06,0.02,0.09
United Kingdom,"Bristol, City of",brst.uk9016,fixed,0.09,0.09,0.02,0.08,0.09,0.08,0.1,0.06,0.13
United Kingdom,Basildon,bsld.uk9016,fixed,0.1,0.1,0.04,0.08,0.1,0.07,0.12,0.04,0.16
United Kingdom,Basingstoke and Deane,bsng.uk9016,fixed,0.14,0.14,0.03,0.13,0.14,0.12,0.16,0.1,0.19
United States,Boston,bstn.usa7306,fixed,0.2,0.2,0.03,0.2,0.21,0.18,0.22,0.16,0.25
United States,Baton Rouge,btnr.usa7306,fixed,0.17,0.17,0.03,0.15,0.17,0.14,0.18,0.11,0.22
South Korea,busan,busn.kor9718,fixed,-0.09,-0.1,0.11,-0.12,-0.06,-0.17,-0.02,-0.29,0.07
Spain,Cadiz,cadz.spa9014,fixed,0.13,0.13,0.02,0.12,0.13,0.11,0.14,0.09,0.17
Italy,Catania,catn.ita0615,fixed,0.11,0.11,0.07,0.08,0.11,0.06,0.15,0.01,0.22
Spain,Caceres,ccrs.spa9014,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.14,0.2
Spain,Ciudad_Real,cddr.spa9014,fixed,0.17,0.17,0.02,0.16,0.18,0.15,0.18,0.14,0.2
United States,Cedar Rapids,cdrr.usa7306,fixed,0.1,0.1,0.07,0.09,0.12,0.06,0.14,-0.01,0.21
Spain,Ceuta,ceut.spa9014,fixed,0.03,0.03,0.02,0.02,0.04,0.02,0.05,-0.01,0.07
Italy,Cagliari,cglr.ita0110,fixed,0.11,0.11,0.07,0.09,0.13,0.06,0.15,0,0.22
United States,Chicago,chcg.usa7306,fixed,0.16,0.16,0.04,0.16,0.17,0.13,0.18,0.1,0.23
Japan,Chiba,chib.jap1115,fixed,0.24,0.24,0.03,0.22,0.24,0.21,0.26,0.19,0.3
Chile,Ñuble,chll.chl0414,fixed,0.11,0.11,0.02,0.1,0.11,0.09,0.12,0.07,0.15
United Kingdom,Chelmsford,chlm.uk9016,fixed,0.17,0.18,0.03,0.17,0.18,0.15,0.19,0.13,0.23
United Kingdom,Cheltenham,chlt.uk9016,fixed,0.1,0.1,0.05,0.08,0.11,0.07,0.14,0.03,0.18
United States,Charlotte,chrl.usa7306,fixed,0.12,0.12,0.03,0.11,0.12,0.1,0.14,0.08,0.17
United States,Charleston,chsc.usa7306,fixed,0.08,0.08,0.06,0.06,0.09,0.04,0.11,-0.01,0.17
United Kingdom,Chesterfield,chst.uk9016,fixed,0.11,0.11,0.03,0.1,0.12,0.09,0.13,0.06,0.16
United States,chattanooga,chtt.usa7306,fixed,0.07,0.07,0.09,0.05,0.08,0.01,0.12,-0.07,0.21
United States,charleston (WV),chwv.usa7306,fixed,0.05,0.05,0.12,0.06,0.12,-0.02,0.13,-0.12,0.25
United Kingdom,Colchester,clch.uk9016,fixed,0.09,0.09,0.06,0.08,0.11,0.06,0.13,-0.01,0.18
France,puy de dome,clfr.fra0014,fixed,0.12,0.12,0.05,0.1,0.12,0.09,0.15,0.03,0.19
Canada,Calgary Zone,clgr.can8615,fixed,0.11,0.11,0.02,0.11,0.12,0.1,0.12,0.08,0.14
United States,Columbus,clmb.usa7306,fixed,0.1,0.1,0.02,0.09,0.11,0.09,0.12,0.07,0.14
United States,Colorado Springs,clrs.usa7306,fixed,0.08,0.08,0.02,0.07,0.08,0.06,0.09,0.04,0.11
United States,Cleveland,clvl.usa7306,fixed,0.12,0.12,0.02,0.11,0.12,0.11,0.13,0.09,0.15
United Kingdom,Cambridge,cmbr.uk9016,fixed,0.09,0.09,0.07,0.08,0.12,0.05,0.14,-0.03,0.21
United States,Cincinnati,cncn.usa7306,fixed,0.15,0.15,0.03,0.14,0.16,0.13,0.17,0.1,0.2
United States,Canton,cntn.usa7306,fixed,0.1,0.1,0.06,0.08,0.11,0.06,0.13,0,0.19
United States,Columbia,colm.usa7306,fixed,0.14,0.14,0.03,0.12,0.14,0.12,0.15,0.09,0.18
Spain,Cordoba,crdb.spa9014,fixed,0.09,0.09,0.02,0.08,0.09,0.07,0.1,0.06,0.12
United States,carlisle,crls.usa7306,fixed,0.22,0.22,0.05,0.2,0.22,0.19,0.24,0.14,0.29
United States,corpus christi,crpc.usa7306,fixed,0.1,0.1,0.09,0.08,0.11,0.04,0.15,-0.04,0.23
Brazil,Cuiabá,crtb.bra9711,fixed,0.01,0.01,0.03,0.01,0.02,0,0.03,-0.03,0.06
United Kingdom,Crawley,crwl.uk9016,fixed,0.09,0.09,0.04,0.07,0.09,0.06,0.11,0.03,0.16
Spain,Castellon,cstl.spa9014,fixed,0.14,0.14,0.02,0.13,0.14,0.12,0.15,0.1,0.17
Brazil,Curitiba,cuib.bra9711,fixed,0.01,0.01,0.03,0.01,0.02,-0.01,0.03,-0.04,0.06
Spain,Cuenca,cunc.spa9014,fixed,0.11,0.11,0.02,0.1,0.11,0.1,0.13,0.09,0.14
United Kingdom,Coventry,cvnt.uk9016,fixed,0.1,0.1,0.02,0.09,0.1,0.08,0.11,0.06,0.13
South Korea,daegu,daeg.kor9718,fixed,0.08,0.08,0.02,0.07,0.09,0.07,0.1,0.04,0.12
United States,Layton,davs.usa7306,fixed,0.1,0.1,0.03,0.09,0.11,0.08,0.12,0.05,0.15
France,cote dor,dijn.fra0014,fixed,0.16,0.16,0.03,0.15,0.17,0.14,0.18,0.12,0.21
United States,Dallas,dlls.usa7306,fixed,0.12,0.12,0.02,0.12,0.13,0.11,0.13,0.09,0.15
United Kingdom,Doncaster,dncs.uk9016,fixed,0.08,0.08,0.03,0.07,0.08,0.05,0.09,0.03,0.13
United States,Denver,dnvr.usa7306,fixed,0.16,0.17,0.02,0.16,0.16,0.15,0.18,0.14,0.19
United States,Dover,dovr.usa7306,fixed,0.15,0.15,0.06,0.14,0.17,0.12,0.19,0.06,0.25
United Kingdom,Derby,drby.uk9016,fixed,0.1,0.1,0.02,0.09,0.1,0.08,0.11,0.06,0.13
United States,Durham,drhm.usa7306,fixed,0.07,0.07,0.04,0.06,0.08,0.04,0.09,0.01,0.13
Germany,Dresden,drsd.ger9315,fixed,0.07,0.07,0.02,0.07,0.08,0.06,0.08,0.04,0.11
Germany,Dortmund,drtm.ger9315,fixed,0.07,0.07,0.02,0.06,0.07,0.05,0.08,0.03,0.1
United States,Des Moines,dsmn.usa7306,fixed,0.09,0.09,0.03,0.07,0.09,0.07,0.11,0.04,0.14
Germany,Duesseldorf,dssl.ger9315,fixed,0.07,0.07,0.02,0.06,0.07,0.05,0.08,0.03,0.11
United States,Detroit,dtrt.usa7306,fixed,0.15,0.15,0.03,0.14,0.15,0.14,0.17,0.11,0.2
United States,Davenport,dvnp.usa7306,fixed,0.12,0.12,0.06,0.11,0.14,0.08,0.16,0.01,0.22
United States,Daytona Beach,dytb.usa7306,fixed,0.11,0.11,0.06,0.08,0.11,0.06,0.14,0,0.21
United States,Dayton,dytn.usa7306,fixed,0.13,0.14,0.06,0.13,0.15,0.1,0.17,0.05,0.23
Canada,Edmonton Zone,edmn.can8615,fixed,0.09,0.09,0.03,0.07,0.09,0.07,0.11,0.04,0.15
United States,El centro,elcn.usa7306,fixed,0.03,0.03,0.12,0.02,0.08,-0.03,0.12,-0.16,0.21
United States,El Paso,elps.usa7306,fixed,0.1,0.1,0.06,0.08,0.11,0.06,0.14,0,0.2
United States,Elizabeth,elzb.usa7306,fixed,0.16,0.16,0.02,0.15,0.17,0.14,0.17,0.12,0.2
United States,Essex,essx.usa7306,fixed,0.12,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.16
United States,Everett,evrt.usa7306,fixed,0.11,0.11,0.03,0.11,0.12,0.09,0.13,0.07,0.16
United States,Fargo,farg.usa7306,fixed,0.05,0.05,0.11,0.02,0.07,-0.01,0.13,-0.12,0.22
United States,flint,flnt.usa7306,fixed,0.12,0.12,0.03,0.11,0.13,0.1,0.14,0.07,0.17
Italy,Firenze,flrn.ita0110,fixed,0.16,0.16,0.02,0.15,0.16,0.14,0.17,0.13,0.2
Germany,Frankfurt,frnk.ger9315,fixed,0.11,0.11,0.02,0.1,0.11,0.09,0.12,0.07,0.14
United States,Fresno,frsn.usa7306,fixed,0.08,0.08,0.06,0.05,0.08,0.03,0.11,-0.02,0.18
Brazil,Fortaleza,frtl.bra9711,fixed,0.06,0.07,0.02,0.06,0.07,0.05,0.08,0.03,0.1
United States,fort lauderdale,ftld.usa7306,fixed,0.14,0.14,0.03,0.13,0.14,0.13,0.16,0.1,0.18
United States,fort myers,ftmy.usa7306,fixed,0.12,0.12,0.03,0.11,0.12,0.09,0.13,0.07,0.17
United States,fort pierce,ftpr.usa7306,fixed,0.12,0.12,0.05,0.1,0.13,0.09,0.15,0.04,0.2
United States,fort worth,ftwr.usa7306,fixed,0.1,0.1,0.03,0.09,0.1,0.08,0.12,0.05,0.14
United States,Fort Wayne,ftwy.usa7306,fixed,0.06,0.06,0.12,0.03,0.08,-0.01,0.14,-0.13,0.25
Japan,Fukuoka,fukk.jap1115,fixed,0.12,0.12,0.03,0.12,0.13,0.1,0.14,0.08,0.17
United States,Gary,gary.usa7306,fixed,0.12,0.13,0.04,0.11,0.13,0.1,0.15,0.06,0.19
Mexico,JALISCO,gdlj.mex9814,fixed,0.02,0.02,0.03,0.01,0.02,0,0.04,-0.02,0.07
Spain,Guadalajara,gdlj.spa9014,fixed,0.13,0.13,0.02,0.13,0.13,0.12,0.14,0.11,0.16
Italy,Genova,geno.ita0110,fixed,0.1,0.11,0.06,0.09,0.12,0.06,0.13,0.02,0.2
Switzerland,Geneva,genv.sui9513,fixed,0.17,0.17,0.03,0.15,0.17,0.15,0.18,0.12,0.21
Spain,Girona,girn.spa9014,fixed,0.19,0.19,0.02,0.19,0.2,0.18,0.2,0.16,0.23
United Kingdom,Gloucester,glcs.uk9016,fixed,0.13,0.13,0.04,0.12,0.14,0.09,0.15,0.06,0.2
China,Guangzhou,gngz.chi9615,fixed,-0.01,-0.01,0.03,-0.01,0,-0.03,0.01,-0.06,0.04
Brazil,Goiânia,goin.bra9711,fixed,0.06,0.06,0.03,0.05,0.06,0.04,0.08,0.01,0.11
France,isere,grnb.fra0014,fixed,0.12,0.12,0.03,0.11,0.12,0.1,0.14,0.07,0.17
Spain,Granada,grnd.spa9014,fixed,0.13,0.13,0.02,0.13,0.14,0.12,0.14,0.1,0.17
United States,greensburg,grng.usa7306,fixed,0.12,0.12,0.04,0.11,0.13,0.1,0.15,0.06,0.19
United States,Grand haven,grnh.usa7306,fixed,0.08,0.08,0.05,0.07,0.09,0.05,0.12,-0.01,0.17
United States,Grand Rapids,grnr.usa7306,fixed,0.08,0.08,0.03,0.07,0.09,0.06,0.11,0.03,0.14
United States,Greensboro,grns.usa7306,fixed,0.09,0.09,0.04,0.08,0.1,0.07,0.12,0.03,0.16
United States,greenville,grnv.usa7306,fixed,0.11,0.11,0.03,0.1,0.11,0.08,0.13,0.05,0.16
United States,Gainesville,gsns.usa7306,fixed,0.06,0.06,0.03,0.05,0.07,0.04,0.08,0.02,0.11
Ecuador,Guayas,gyql.ecu1418,fixed,0.1,0.1,0.05,0.08,0.1,0.06,0.13,0.01,0.18
Vietnam,H? Chí Minh,hcmc.vie0913,fixed,0.03,0.02,0.09,0.02,0.05,-0.04,0.07,-0.12,0.16
Finland,Helsingin ja Uudenmaan,hlsn.fnl9414,fixed,0.1,0.1,0.02,0.09,0.1,0.08,0.11,0.06,0.13
Germany,Hamburg,hmbr.ger9315,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.13,0.21
Canada,City of Hamilton Health Unit,hmlt.can8615,fixed,0.14,0.15,0.06,0.12,0.15,0.1,0.17,0.05,0.23
China,Hangzhou,hngk.chi9615,fixed,0.01,0.01,0.04,0,0.02,-0.02,0.03,-0.06,0.08
China,Hong Kong,hngz.chi9615,fixed,0.03,0.03,0.04,0.01,0.03,0,0.05,-0.04,0.09
United States,honolulu,hnll.usa7306,fixed,0.12,0.13,0.05,0.1,0.12,0.09,0.15,0.05,0.2
Germany,Hannover,hnnv.ger9315,fixed,0.08,0.08,0.02,0.08,0.09,0.07,0.1,0.05,0.12
United States,Harrisburg,hrrs.usa7306,fixed,0.13,0.13,0.05,0.12,0.14,0.1,0.17,0.05,0.22
United States,Hartford,hrtf.usa7306,fixed,0.12,0.12,0.03,0.11,0.12,0.1,0.14,0.08,0.16
United States,Houston,hstn.usa7306,fixed,0.13,0.13,0.03,0.12,0.13,0.11,0.15,0.08,0.17
Spain,Huelva,hulv.spa9014,fixed,0.06,0.06,0.02,0.06,0.07,0.05,0.08,0.03,0.1
Spain,Huesca,husc.spa9014,fixed,0.07,0.07,0.02,0.07,0.08,0.06,0.09,0.05,0.1
South Korea,incheon,inch.kor9718,fixed,0.08,0.09,0.07,0.08,0.11,0.04,0.13,-0.03,0.19
United States,Indianapolis,indn.usa7306,fixed,0.1,0.11,0.03,0.09,0.11,0.08,0.12,0.05,0.16
United Kingdom,Ipswich,ipsw.uk9016,fixed,0.1,0.1,0.08,0.08,0.12,0.03,0.13,-0.03,0.22
United States,Iowa city,iwct.usa7306,fixed,0.16,0.16,0.03,0.15,0.17,0.14,0.18,0.11,0.22
Spain,Jaen,jaen.spa9014,fixed,0.13,0.13,0.02,0.13,0.14,0.12,0.14,0.1,0.16
United States,Jacksonville,jcks.usa7306,fixed,0.15,0.15,0.02,0.14,0.15,0.13,0.17,0.11,0.19
Brazil,João Pessoa,jpss.bra9711,fixed,0.08,0.08,0.02,0.07,0.08,0.06,0.09,0.04,0.12
United States,Jersey city,jrsc.usa7306,fixed,0.19,0.19,0.02,0.18,0.2,0.17,0.2,0.15,0.22
United States,Kalamazoo,klmz.usa7306,fixed,0.11,0.12,0.07,0.09,0.12,0.06,0.15,0,0.23
United States,kenosha,knsh.usa7306,fixed,0.11,0.11,0.07,0.09,0.12,0.07,0.16,-0.02,0.22
United States,Kansas City,knss.usa7306,fixed,0.11,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.15
United States,Knoxville,knxv.usa7306,fixed,0.08,0.08,0.05,0.07,0.09,0.05,0.1,0.01,0.16
Japan,Hyogo,kobe.jap1115,fixed,-0.02,-0.02,0.03,-0.03,-0.01,-0.04,0,-0.08,0.03
Germany,Koeln,koln.ger9315,fixed,0.15,0.15,0.02,0.14,0.15,0.13,0.16,0.11,0.19
Kuwait,Kuwait,kuwt.kuw0016,fixed,0.08,0.08,0.05,0.06,0.08,0.03,0.1,0,0.17
United Kingdom,Leicester,lcst.uk9016,fixed,0.11,0.11,0.03,0.1,0.11,0.1,0.13,0.07,0.16
Mexico,GUANAJUATO,leon.mex9814,fixed,0.05,0.05,0.03,0.04,0.06,0.03,0.06,0.01,0.09
Spain,Leon,leon.spa9014,fixed,0.16,0.16,0.02,0.16,0.17,0.15,0.18,0.13,0.2
United States,lafayette (IN),lfin.usa7306,fixed,0.1,0.1,0.06,0.08,0.11,0.06,0.13,0,0.19
Spain,La_Rioja,lgrn.spa9014,fixed,0.14,0.14,0.02,0.13,0.14,0.13,0.15,0.11,0.17
France,seine maritime,lhvr.fra0014,fixed,0.14,0.14,0.02,0.13,0.14,0.12,0.15,0.1,0.18
France,nord,lill.fra0014,fixed,0.15,0.16,0.03,0.15,0.16,0.13,0.17,0.11,0.2
Peru,LIMA,lima.per0814,fixed,0.12,0.12,0.03,0.12,0.13,0.1,0.14,0.06,0.16
United States,Lake charles,lkch.usa7306,fixed,0.08,0.08,0.06,0.07,0.09,0.03,0.1,-0.02,0.17
United States,lakeland,lkln.usa7306,fixed,0.14,0.14,0.04,0.13,0.14,0.11,0.16,0.07,0.2
Spain,Lleida,lled.spa9014,fixed,0.13,0.13,0.02,0.12,0.13,0.12,0.14,0.1,0.16
United States,lancaster,lncs.usa7306,fixed,0.14,0.15,0.04,0.13,0.15,0.12,0.16,0.09,0.21
United Kingdom,London,lndn.uk9016,fixed,0.2,0.2,0.02,0.19,0.2,0.18,0.21,0.16,0.24
France,pas de calais,lndu.fra0014,fixed,0.13,0.13,0.05,0.12,0.14,0.1,0.17,0.05,0.22
United States,lansing,lnsn.usa7306,fixed,0.1,0.1,0.04,0.09,0.11,0.08,0.13,0.03,0.17
China,Lanzhou,lnzh.chi9615,fixed,0.01,0.01,0.11,-0.01,0.04,-0.05,0.09,-0.17,0.18
United States,louisville,losv.usa7306,fixed,0.09,0.1,0.08,0.07,0.11,0.03,0.13,-0.03,0.22
Germany,Leipzig,lpzg.ger9315,fixed,0.06,0.06,0.02,0.05,0.06,0.05,0.07,0.02,0.09
United States,Los Angeles,lsan.usa7306,fixed,0.2,0.2,0.04,0.18,0.2,0.17,0.21,0.14,0.25
Switzerland,Vaud,lsnn.sui9513,fixed,0.14,0.14,0.02,0.14,0.15,0.13,0.16,0.1,0.18
United States,las vegas,lsvg.usa7306,fixed,0.16,0.17,0.05,0.15,0.17,0.13,0.19,0.09,0.25
United States,Little Rock,lttr.usa7306,fixed,0.1,0.1,0.07,0.08,0.12,0.05,0.13,-0.01,0.22
Switzerland,Ticino,lugn.sui9513,fixed,0.14,0.14,0.02,0.13,0.14,0.13,0.15,0.11,0.18
Spain,Lugo,lugo.spa9014,fixed,0.06,0.06,0.02,0.05,0.06,0.05,0.08,0.04,0.09
United Kingdom,Luton,lutn.uk9016,fixed,0.1,0.1,0.02,0.09,0.1,0.08,0.11,0.06,0.13
United Kingdom,Liverpool,lvrp.uk9016,fixed,0.11,0.11,0.02,0.11,0.12,0.1,0.12,0.09,0.14
France,rhone,lyon.fra0014,fixed,0.13,0.14,0.02,0.12,0.13,0.12,0.15,0.1,0.17
Brazil,Maceió,mace.bra9711,fixed,0.16,0.17,0.03,0.15,0.17,0.15,0.18,0.12,0.21
Spain,Malaga,malg.spa9014,fixed,0.18,0.18,0.02,0.17,0.18,0.16,0.19,0.15,0.21
Philippines,Manila City,manl.phi0610,fixed,0.08,0.08,0.08,0.07,0.1,0.03,0.13,-0.04,0.22
Brazil,Manaus,mans.bra9711,fixed,0.07,0.07,0.02,0.07,0.08,0.06,0.09,0.04,0.11
United States,mcallen,mcll.usa7306,fixed,0,0,0.12,-0.02,0.03,-0.08,0.07,-0.21,0.17
United States,middlesex,mddl.usa7306,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.12,0.2
United States,Middletown,mddt.usa7306,fixed,0.17,0.18,0.04,0.16,0.18,0.15,0.2,0.11,0.24
Spain,Madrid,mdrd.spa9014,fixed,0.1,0.1,0.02,0.09,0.1,0.09,0.11,0.07,0.13
United Kingdom,Maidstone,mdst.uk9016,fixed,0.07,0.07,0.07,0.05,0.08,0.03,0.12,-0.04,0.18
United States,Modesto,mdst.usa7306,fixed,0.1,0.1,0.08,0.09,0.13,0.06,0.16,-0.03,0.24
United States,madison (WI),mdwi.usa7306,fixed,0.05,0.05,0.03,0.04,0.05,0.03,0.06,0.01,0.09
United Kingdom,Medway,mdwt.uk9016,fixed,0.11,0.11,0.02,0.11,0.12,0.1,0.12,0.08,0.15
United States,Miami,miam.usa7306,fixed,0.18,0.18,0.03,0.18,0.19,0.16,0.19,0.14,0.22
Italy,Milano,miln.ita0110,fixed,0.16,0.16,0.02,0.16,0.17,0.14,0.17,0.12,0.2
Australia,Melbourne,mlbr.aus8809,fixed,0.08,0.08,0.02,0.07,0.08,0.06,0.09,0.05,0.11
United States,melbourne,mlbr.usa7306,fixed,0.09,0.09,0.09,0.06,0.1,0.03,0.14,-0.04,0.24
Spain,Melilla,mlll.spa9014,fixed,0.03,0.03,0.02,0.02,0.03,0.02,0.05,-0.01,0.07
United Kingdom,Milton Keynes,mltk.uk9016,fixed,0.07,0.07,0.03,0.06,0.07,0.05,0.08,0.02,0.1
United States,milwaukee,mlwk.usa7306,fixed,0.09,0.09,0.03,0.08,0.09,0.07,0.1,0.05,0.13
United States,memphis,mmph.usa7306,fixed,0.08,0.09,0.03,0.08,0.09,0.06,0.11,0.03,0.14
Germany,Muenchen,mnch.ger9315,fixed,0.21,0.21,0.03,0.2,0.21,0.19,0.22,0.17,0.25
United Kingdom,Manchester,mnch.uk9016,fixed,0.16,0.16,0.02,0.15,0.16,0.15,0.17,0.13,0.19
United States,Toms River,mnmt.usa7306,fixed,0.12,0.13,0.02,0.12,0.13,0.11,0.14,0.09,0.16
United States,minneapolis,mnnp.usa7306,fixed,0.08,0.08,0.02,0.08,0.09,0.06,0.09,0.04,0.11
United Kingdom,Mansfield,mnsf.uk9016,fixed,0.03,0.02,0.11,0.01,0.06,-0.03,0.1,-0.15,0.19
United States,Montgomery,mntg.usa7306,fixed,0.1,0.1,0.07,0.08,0.11,0.06,0.15,-0.01,0.2
France,herault,mntp.fra0014,fixed,0.11,0.11,0.02,0.1,0.11,0.09,0.12,0.08,0.14
Canada,Region de Montreal,mntr.can8615,fixed,0.14,0.14,0.05,0.11,0.13,0.1,0.16,0.05,0.22
Mexico,NUEVO LEÓN,mntr.mex9814,fixed,-0.03,-0.03,0.04,-0.03,-0.02,-0.05,-0.01,-0.09,0.03
Uruguay,MONTEVIDEO,mntv.uru1216,fixed,-0.03,-0.02,0.03,-0.03,-0.02,-0.04,-0.01,-0.06,0.02
United States,Mobile,mobl.usa7306,fixed,0.12,0.12,0.06,0.11,0.14,0.09,0.16,0.03,0.21
United States,Monroe,monr.usa7306,fixed,0.13,0.13,0.05,0.11,0.13,0.09,0.15,0.04,0.2
United States,Upper Marlboro,mrlb.usa7306,fixed,0.16,0.16,0.02,0.15,0.16,0.14,0.16,0.12,0.19
